@relation pac-man
@attribute ronda_tick NUMERIC
@attribute width NUMERIC
@attribute height NUMERIC
@attribute pmanPosX NUMERIC
@attribute pmanPosY NUMERIC
@attribute legalWest {None, West}
@attribute legalStop {None, Stop}
@attribute legalEast {None, East}
@attribute legalNorth {None, North}
@attribute legalSouth {None, South}
@attribute direction {Stop,West,East,North,South}
@attribute numAgents NUMERIC
@attribute livingG_0 {True,False}
@attribute livingG_1 {True,False}
@attribute livingG_2 {True,False}
@attribute livingG_3 {True,False}
@attribute livingG_4 {True,False}
@attribute g1posX NUMERIC
@attribute g1posY NUMERIC
@attribute g2posX NUMERIC
@attribute g2posY NUMERIC
@attribute g3posX NUMERIC
@attribute g3posY NUMERIC
@attribute g4posX NUMERIC
@attribute g4posY NUMERIC
@attribute g1dir {Stop,West,East,North,South}
@attribute g2dir {Stop,West,East,North,South}
@attribute g3dir {Stop,West,East,North,South}
@attribute g4dir {Stop,West,East,North,South}
@attribute g1dist NUMERIC
@attribute g2dist NUMERIC
@attribute g3dist NUMERIC
@attribute g4dist NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute score NUMERIC
@attribute scoreSiguiente NUMERIC
@attribute action {Stop,West,East,North,South}

@data
31,20,13,14,5,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,East,-1,-1,-1,-1,1,5,669,North,668
32,20,13,14,6,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,East,-1,-1,-1,-1,1,4,668,North,667
33,20,13,14,7,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,East,-1,-1,-1,-1,1,3,667,North,666
34,20,13,14,8,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,13,4,Stop,Stop,Stop,West,-1,-1,-1,-1,1,2,666,North,665
35,20,13,14,9,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,13,5,Stop,Stop,Stop,North,-1,-1,-1,-1,1,1,665,North,764
36,20,13,14,10,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,12,5,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,764,South,763
37,20,13,14,9,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,13,5,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,763,South,762
38,20,13,14,8,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,14,5,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,762,South,761
39,20,13,14,7,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,South,-1,-1,-1,-1,0,-1,761,South,760
40,20,13,14,6,None,Stop,None,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,15,4,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,760,South,759
41,20,13,14,5,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,16,4,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,759,South,758
42,20,13,14,4,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,15,4,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,758,East,757
43,20,13,15,4,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,15,3,Stop,Stop,Stop,South,-1,-1,-1,-1,0,-1,757,East,756
44,20,13,16,4,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,3,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,756,South,755
1,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,11,11,11,2,14,-1,Stop,-2
2,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,7,5,6,8,8,11,14,6,East,South,Stop,Stop,12,12,12,12,2,14,-2,Stop,-3
3,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,8,5,5,8,9,11,14,6,East,West,East,Stop,13,13,13,13,2,14,-3,East,-4
7,20,13,5,11,West,Stop,East,None,South,East,4,False,True,False,True,True,6,4,5,11,10,11,14,8,West,Stop,North,North,8,8,8,8,2,10,193,South,192
8,20,13,5,10,None,Stop,East,North,South,South,4,False,True,False,True,True,7,4,3,1,11,11,14,9,East,Stop,East,North,8,8,8,8,2,9,192,South,191
9,20,13,5,9,West,Stop,East,North,South,South,4,False,True,False,True,True,7,4,3,1,10,11,15,9,East,Stop,West,East,7,7,7,7,2,8,191,South,190
10,20,13,5,8,West,Stop,East,North,South,South,4,False,True,False,True,True,7,4,3,1,10,10,15,8,East,Stop,South,South,6,6,6,6,2,7,190,East,189
11,20,13,6,8,West,Stop,East,North,South,East,4,False,True,False,True,True,6,4,3,1,10,9,16,8,West,Stop,South,East,4,4,4,4,2,6,189,East,188
12,20,13,7,8,West,Stop,East,North,South,East,4,False,True,False,True,True,5,4,3,1,11,9,17,8,West,Stop,East,East,6,6,6,6,2,5,188,East,187
13,20,13,8,8,West,Stop,East,North,South,East,4,False,True,False,True,True,4,4,3,1,10,9,18,8,West,Stop,West,East,8,8,8,8,2,4,187,East,186
14,20,13,9,8,West,Stop,East,North,South,East,4,False,True,False,True,True,3,4,3,1,11,9,18,7,West,Stop,East,South,10,10,10,10,2,3,186,East,185
15,20,13,10,8,West,Stop,None,North,South,East,4,False,True,False,True,True,4,4,3,1,11,9,18,7,East,Stop,East,South,10,10,10,10,2,2,185,North,184
16,20,13,10,9,West,Stop,East,North,South,North,4,False,True,False,True,True,4,5,3,1,11,9,18,7,North,Stop,East,South,10,10,10,10,2,3,184,East,183
18,20,13,12,9,West,Stop,East,None,South,East,4,False,True,False,False,True,5,5,3,1,12,9,18,9,East,Stop,Stop,North,11,11,11,11,2,3,382,East,381
19,20,13,13,9,West,Stop,East,None,South,East,4,False,True,False,False,True,5,4,3,1,5,1,18,9,South,Stop,Stop,North,13,13,13,13,2,2,381,East,380
20,20,13,14,9,West,Stop,East,North,South,East,4,False,True,False,False,True,4,4,3,1,5,1,18,10,West,Stop,Stop,North,15,15,15,15,2,1,380,North,479
21,20,13,14,10,None,Stop,None,North,South,North,4,False,True,False,False,True,3,4,3,1,5,1,18,9,West,Stop,Stop,South,17,17,17,17,1,8,479,North,478
22,20,13,14,11,West,Stop,East,None,South,North,4,False,True,False,False,True,2,4,3,1,5,1,18,9,West,Stop,Stop,South,19,19,19,19,1,9,478,East,477
26,20,13,18,11,West,Stop,None,None,South,East,4,False,True,False,False,True,3,5,3,1,5,1,18,9,North,Stop,Stop,South,21,21,21,21,1,13,474,South,473
27,20,13,18,10,None,Stop,None,North,South,South,4,False,True,False,False,True,4,5,3,1,5,1,18,8,East,Stop,Stop,South,19,19,19,19,1,12,473,South,672
28,20,13,18,9,West,Stop,None,North,South,South,4,False,True,False,False,False,3,5,3,1,5,1,18,9,West,Stop,Stop,Stop,19,19,19,19,1,11,672,South,671
29,20,13,18,8,West,Stop,None,North,South,South,4,False,True,False,False,False,4,5,3,1,5,1,7,1,East,Stop,Stop,Stop,17,17,17,17,1,10,671,West,670
30,20,13,17,8,West,Stop,East,North,South,West,4,False,True,False,False,False,4,4,3,1,5,1,7,1,South,Stop,Stop,Stop,17,17,17,17,1,9,670,West,669
31,20,13,16,8,West,Stop,East,North,South,West,4,False,True,False,False,False,5,4,3,1,5,1,7,1,East,Stop,Stop,Stop,15,15,15,15,1,8,669,West,668
32,20,13,15,8,West,Stop,East,North,South,West,4,False,True,False,False,False,5,3,3,1,5,1,7,1,South,Stop,Stop,Stop,15,15,15,15,1,7,668,West,667
33,20,13,14,8,West,Stop,East,North,South,West,4,False,True,False,False,False,6,3,3,1,5,1,7,1,East,Stop,Stop,Stop,13,13,13,13,1,6,667,West,666
34,20,13,13,8,West,Stop,East,North,South,West,4,False,True,False,False,False,6,4,3,1,5,1,7,1,North,Stop,Stop,Stop,11,11,11,11,1,5,666,North,665
35,20,13,13,9,West,Stop,East,None,South,North,4,False,True,False,False,False,6,4,3,1,5,1,7,1,North,Stop,Stop,Stop,12,12,12,12,1,6,665,West,664
36,20,13,12,9,West,Stop,East,None,South,West,4,False,True,False,False,False,5,4,3,1,5,1,7,1,West,Stop,Stop,Stop,12,12,12,12,1,5,664,West,663
38,20,13,10,9,West,Stop,East,North,South,West,4,False,True,False,False,False,4,3,3,1,5,1,7,1,South,Stop,Stop,Stop,12,12,12,12,1,3,662,South,661
39,20,13,10,8,West,Stop,None,North,South,South,4,False,True,False,False,False,4,3,3,1,5,1,7,1,South,Stop,Stop,Stop,11,11,11,11,1,2,661,South,660
40,20,13,10,7,West,Stop,None,North,South,South,4,False,True,False,False,False,4,3,3,1,5,1,7,1,South,Stop,Stop,Stop,10,10,10,10,1,1,660,South,759
41,20,13,10,6,West,Stop,None,North,South,South,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,10,10,10,10,0,-1,759,South,758
42,20,13,10,5,West,Stop,East,North,South,South,4,False,True,False,False,False,3,4,3,1,5,1,7,1,North,Stop,Stop,Stop,8,8,8,8,0,-1,758,West,757
43,20,13,9,5,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,South,Stop,Stop,Stop,8,8,8,8,0,-1,757,West,756
44,20,13,8,5,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,South,Stop,Stop,Stop,7,7,7,7,0,-1,756,West,755
45,20,13,7,5,West,Stop,East,None,South,West,4,False,True,False,False,False,4,3,3,1,5,1,7,1,East,Stop,Stop,Stop,5,5,5,5,0,-1,755,West,754
46,20,13,6,5,West,Stop,East,None,South,West,4,False,True,False,False,False,5,3,3,1,5,1,7,1,East,Stop,Stop,Stop,3,3,3,3,0,-1,754,West,753
47,20,13,5,5,West,Stop,East,None,South,West,4,False,True,False,False,False,4,3,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,753,South,752
48,20,13,5,4,West,Stop,East,North,South,South,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,752,West,751
49,20,13,4,4,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,2,2,2,2,0,-1,751,West,750
50,20,13,3,4,West,Stop,East,North,South,West,4,False,True,False,False,False,3,3,3,1,5,1,7,1,West,Stop,Stop,Stop,1,1,1,1,0,-1,750,South,749
7,16,5,1,3,None,Stop,East,None,South,West,4,False,True,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,1,1,1,1,2,2,-7,South,192
8,16,5,1,2,None,Stop,None,North,South,South,4,False,False,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,2,1,192,South,491
18,16,5,9,2,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1782,North,1781
19,16,5,9,3,West,Stop,East,None,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1781,East,1780
24,16,5,14,3,West,Stop,None,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1776,South,1975
5,16,5,1,3,None,Stop,East,None,South,West,4,False,True,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,1,1,1,1,2,2,-5,South,194
6,16,5,1,2,None,Stop,None,North,South,South,4,False,False,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,2,1,194,South,493
16,16,5,9,2,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1784,North,1783
17,16,5,9,3,West,Stop,East,None,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1783,East,1782
22,16,5,14,3,West,Stop,None,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,2,Stop,Stop,Stop,Stop,-1,-1,-1,-1,0,-1,1778,South,1977
5,16,5,1,3,None,Stop,East,None,South,West,4,False,True,True,True,True,1,2,3,1,4,1,14,2,Stop,Stop,Stop,Stop,1,1,1,1,2,2,-5,South,194
