@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
22,18,116,40312,4,4,10000,1941612161710,1343,13171110,2,2,1,950
22,18,106,40312,4,4,10000,1931613161610,1434,12171310,2,3,4,949
22,18,96,0312,4,4,10000,1831613161610,2434,10161411,2,4,3,948
22,18,96,0312,4,4,10000,1721612161610,2444,9171311,2,4,3,947
22,18,95,031,2,4,10000,1731612161510,2344,10171411,2,5,3,946
22,18,96,0312,1,4,10000,1621613161610,2433,8171411,2,4,0,945
22,18,95,031,2,4,10000,1511614161710,2433,8191613,2,5,0,944
22,18,96,0312,1,4,10000,2511514151810,3223,8171413,2,4,2,943
22,18,96,0312,1,4,10000,2611414161811,1211,7161514,2,4,3,942
22,18,96,0312,1,4,10000,2611514151812,1121,7171415,2,4,1,941
22,18,97,40312,1,4,10000,1611513151812,4141,9161214,2,3,1,940
22,18,98,0312,1,4,10000,1511613161813,2111,11161214,2,2,3,939
22,18,99,40312,1,4,10000,1511614161814,2131,12151214,2,2,4,938
22,18,109,40312,3,4,10000,1411614161813,2132,14161112,2,1,1,937
22,18,108,40312,2,4,10000,1311515161813,2232,14161313,2,1,2,936
22,18,109,40312,1,4,10000,2311516161913,3233,14151313,2,1,2,935
22,18,108,40312,2,4,10000,1311415162013,4243,14151315,2,1,4,934
22,18,107,40312,2,4,10000,2311415162012,3242,12161415,2,2,1,933
22,18,106,40312,2,4,10000,2311315152011,3222,11161415,2,3,2,932
22,18,116,40312,3,4,10000,1311215152012,4221,13161315,2,2,2,931
22,18,117,40312,1,4,10000,2311115152012,3221,13141214,2,1,2,1030
22,18,118,40312,1,4,10000,1311214152013,4141,15141014,1,1,2,1029
22,18,128,4012,3,4,10000,2311314142013,3121,1516813,1,2,4,1028
22,18,129,40312,1,4,10000,2311214151913,3214,1614811,1,1,1,1127
22,18,119,40312,4,4,10000,2311314141813,3124,1514811,0,0,2,1126
22,18,109,40312,4,4,10000,3311314151812,3112,13131011,0,0,4,1125
